ts,device_id,orig_bytes,resp_bytes,duration,id.resp_h,id.resp_p,conn_state,label,attack_type
1537522822.96553,0.0.0.0,600.0,0.0,8.322388,255.255.255.255,67,S0,Benign,
1537522826.84552,192.168.2.1,27148.0,0.0,19576.598629,192.168.2.255,57621,S0,Benign,
1537522897.732295,192.168.2.1,0.0,0.0,0.0,224.0.0.251,5353,S0,Benign,
1537522897.732374,fe80::80e6:50ff:fe12:1464,0.0,0.0,0.0,ff02::fb,5353,S0,Benign,
1537522897.732507,169.254.15.115,0.0,0.0,0.0,224.0.0.251,5353,S0,Benign,
1537522899.498805,0.0.0.0,3000.0,0.0,60.555587,255.255.255.255,67,S0,Benign,
1537523028.266738,0.0.0.0,3000.0,0.0,58.101145,255.255.255.255,67,S0,Benign,
1537523154.94827,0.0.0.0,3000.0,0.0,59.007533,255.255.255.255,67,S0,Benign,
1537523212.430714,192.168.2.1,804.0,0.0,7.005272,224.0.0.251,5353,S0,Benign,
1537523212.430804,169.254.15.115,804.0,0.0,7.005263,224.0.0.251,5353,S0,Benign,
1537523212.430823,fe80::80e6:50ff:fe12:1464,804.0,0.0,7.005255,ff02::fb,5353,S0,Benign,
1537523282.482698,0.0.0.0,3000.0,0.0,60.591687,255.255.255.255,67,S0,Benign,
1537523411.814564,0.0.0.0,3000.0,0.0,61.018114,255.255.255.255,67,S0,Benign,
1537523541.023501,0.0.0.0,3603.0,0.0,58.447015,255.255.255.255,67,S0,Benign,
1537523548.856511,::,0.0,0.0,0.0,ff02::1:ff27:561e,136,OTH,Benign,
1537523548.856516,::,40.0,0.0,0.00434,ff02::16,0,OTH,Benign,
1537523548.861004,fe80::4eef:c0ff:fe27:561e,100.0,0.0,23.370275,ff02::16,0,OTH,Benign,
1537523548.865809,fe80::4eef:c0ff:fe27:561e,24.0,0.0,7.550691,ff02::2,134,OTH,Benign,
1537523548.881175,192.168.2.3,0.0,600.0,0.004204,192.168.2.1,67,SHR,Benign,
1537523549.066996,192.168.2.3,3888.0,0.0,38.59536,224.0.0.251,5353,S0,Benign,
1537523549.331991,192.168.2.3,43.0,111.0,0.011518,192.168.2.1,53,SF,Benign,
1537523549.337398,192.168.2.3,40.0,56.0,0.015621,192.168.2.1,53,SF,Benign,
1537523549.337702,192.168.2.3,40.0,104.0,0.015581,192.168.2.1,53,SF,Benign,
1537523549.357457,192.168.2.3,135.0,238.0,0.356214,176.32.98.203,80,SF,Benign,
1537523549.364508,192.168.2.3,48.0,48.0,0.018262,78.108.145.1,123,SF,Benign,
1537523549.364515,192.168.2.3,48.0,48.0,0.023151,78.108.145.1,123,SF,Benign,
1537523549.487071,192.168.2.3,146.0,775.0,301.53226,52.216.16.8,80,SF,Benign,
1537523549.487076,192.168.2.3,560.0,560.0,0.055415,192.168.2.1,0,OTH,Benign,
1537523549.487078,fe80::4eef:c0ff:fe27:561e,1818.0,0.0,38.175279,ff02::fb,5353,S0,Benign,
1537523549.545469,192.168.2.3,33.0,49.0,0.012246,192.168.2.1,53,SF,Benign,
1537523549.696574,192.168.2.3,0.0,0.0,0.33274,93.184.216.34,80,SF,Benign,
1537523549.696578,192.168.2.3,37.0,53.0,0.189103,192.168.2.1,53,SF,Benign,
1537523549.739415,192.168.2.3,36.0,68.0,0.013419,192.168.2.1,53,SF,Benign,
1537523549.773559,192.168.2.3,0.0,0.0,0.0,72.21.192.213,123,S0,Benign,
1537523549.776194,192.168.2.3,0.0,0.0,0.0,72.21.192.213,123,S0,Benign,
1537523549.9064,192.168.2.3,41.0,57.0,0.016521,192.168.2.1,53,SF,Benign,
1537523549.913557,192.168.2.3,3536.0,5516.0,19.529914,54.239.27.11,443,SF,Benign,
1537523549.914329,192.168.2.3,33.0,49.0,0.011252,192.168.2.1,53,SF,Benign,
1537523549.939362,192.168.2.3,0.0,0.0,0.300101,93.184.216.34,80,SF,Benign,
1537523549.973209,192.168.2.3,1093.0,7397.0,9.175136,52.119.164.214,443,S3,Benign,
1537523549.992842,192.168.2.3,1090.0,6429.0,9.028916,52.119.164.214,443,S3,Benign,
1537523550.119413,192.168.2.3,1090.0,6429.0,9.102421,52.119.164.214,443,S3,Benign,
1537523550.122889,192.168.2.3,33.0,49.0,0.013156,192.168.2.1,53,SF,Benign,
1537523550.139896,192.168.2.3,0.0,0.0,0.310657,93.184.216.34,80,SF,Benign,
1537523550.167997,192.168.2.3,40.0,56.0,0.01329,192.168.2.1,53,SF,Benign,
1537523550.185739,192.168.2.3,10345.0,17343.0,123.033629,176.32.98.106,443,RSTR,Benign,
1537523551.167183,192.168.2.3,37.0,53.0,0.118298,192.168.2.1,53,SF,Benign,
1537523551.378558,192.168.2.3,2603.0,3842.0,97.036123,52.46.157.6,443,RSTR,Benign,
1537523551.589071,192.168.2.3,2651.0,3769.0,2.843592,52.46.157.6,443,SF,Benign,
1537523552.006119,192.168.2.3,40.0,56.0,0.049276,192.168.2.1,53,SF,Benign,
1537523552.058663,192.168.2.3,2506.0,5330.0,8.802702,52.46.129.109,443,S3,Benign,
1537523552.429655,192.168.2.3,48.0,64.0,0.010914,192.168.2.1,53,SF,Benign,
